"Colorado Medicaid Fee Schedule January 1, 2012",,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2012.  Please refer to the Fee Schedule Instructions on the website for an explanation of each field.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Relative Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
01400,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01402,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
01404,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01420,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01430,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01432,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01440,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01442,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01444,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01462,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01464,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01470,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01472,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01474,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01480,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01482,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01484,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01486,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
01490,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01500,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01502,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01520,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01522,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0152T,TC,,,Code is manually priced,0,999,0,No,
0152T,26,,,Code is manually priced,0,999,0,No,
0152T,,,,Code is manually priced,0,999,0,No,
0159T,TC,10.68,7.41,$79.14,0,999,0,Yes,
0159T,26,10.68,7.41,$79.14,0,999,0,Yes,
0159T,,21.36,7.41,$158.28,0,999,0,Yes,
01610,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01620,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01622,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01630,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01634,,9,20.17,Varies based on total anesthesia time,0,999,0,No,
01636,,15,20.17,Varies based on total anesthesia time,0,999,0,No,
01638,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
0163T,,63.54,32.47,"$2,063.14",0,999,0,No,
0164T,,,,Code is manually priced,0,999,0,No,
01650,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01652,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
01654,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01656,,10,20.17,Varies based on total anesthesia time,0,999,0,No,
0165T,,,,Code is manually priced,0,999,0,No,
01670,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01680,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01682,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
0169T,,29.89,32.47,$970.53,0,999,0,No,
01710,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01712,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01714,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01716,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0171T,,17.41,32.47,$565.30,0,999,0,No,
0172T,,7.27,32.47,$236.06,0,999,0,No,
01730,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01732,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
0173T,,,,Not a benefit,,,,,
01740,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
01742,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
01744,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0174T,,2.48,7.41,$18.38,0,999,0,No,
01756,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01758,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0175T,,,,Not a benefit,,,,,
01760,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
01770,,8,20.17,Varies based on total anesthesia time,0,999,0,No,
01772,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01780,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01782,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
0178T,,17.37,7.41,$128.71,0,999,0,No,
0179T,,11.5,7.41,$85.22,0,999,0,No,
0180T,,5.87,7.41,$43.50,0,999,0,No,
01810,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
0181T,,139.79,2.68,$374.64,0,999,0,No,
01820,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01829,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
0182T,,39.05,7.41,$289.36,0,999,0,No,
01830,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01832,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
0183T,,13.27,7.41,$98.33,0,999,0,No,
01840,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01842,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
01844,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
0184T,,,,Code is manually priced,0,999,0,No,
01850,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
01852,,4,20.17,Varies based on total anesthesia time,0,999,0,No,
0185T,,,,Code is manually priced,0,999,0,No,
01860,,3,20.17,Varies based on total anesthesia time,0,999,0,No,
0186T,,413.9,2.68,"$1,109.25",0,999,0,No,
0188T,,,,Not a benefit,,,,,
0189T,,,,Not a benefit,,,,,
0190T,,413.9,2.68,"$1,109.25",0,999,0,No,
01916,,5,20.17,Varies based on total anesthesia time,0,999,0,No,
0191T,,443,2.68,"$1,187.24",0,999,0,No,
01920,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
01922,,7,20.17,Varies based on total anesthesia time,0,999,0,No,
01924,,6,20.17,Varies based on total anesthesia time,0,999,0,No,
