,,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after July 1, 2015 Please refer to the Fee Schedule Instructions on the website for an explaination of each field",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Base Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
01140,,15.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01150,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01160,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01170,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01173,,12.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01180,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01190,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01200,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01202,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01210,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01212,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01214,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01215,,10.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01220,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01230,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01232,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01234,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0123T,,47.76,33.94,"$1,620.97",000,999,000,No,
01250,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01260,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0126T,,32.38,2.79,$90.34,000,999,000,No,
01270,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01272,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01274,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01320,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01340,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01360,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01380,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01382,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01390,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01392,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01400,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01402,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01404,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01420,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01430,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01432,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01440,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01442,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01444,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01462,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01464,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01470,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01472,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01474,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01480,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01482,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01484,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01486,,7.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01490,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01500,,8.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01502,,6.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01520,,3.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01522,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
0152T,26,,,Code Is Manually Priced,000,999,000,No,
0159T,26,10.68,7.74,$82.66,000,999,000,Yes,
0159T,TC,10.68,7.74,$82.66,000,999,000,Yes,
0159T,,21.36,7.74,$165.33,000,999,000,Yes,
01610,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01620,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01622,,4.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01630,,5.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01634,,9.00,28.61,Varies based on total anesthesia time,000,999,000,No,
01636,,15.00,28.61,Varies based on total anesthesia time,000,999,000,No,
