"Colorado Medicaid Fee Schedule January 1, 2014",,,,,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2014  Please refer to the Fee Schedule Instructions on the website for an explaination of each field",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Base Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,,,,
76497,,19.65,7.55,$148.36,000,999,000,No,,,,
76498,26,8.21,7.55,$61.99,000,999,000,No,,,,
76498,TC,2.05,7.55,$15.48,000,999,000,No,,,,
76498,,10.26,7.55,$77.46,000,999,000,No,,,,
76499,26,,,Code is Manually Priced,000,999,000,No,,,,
76499,,,,Code is Manually Priced,000,999,000,No,,,,
76506,26,3.88,7.55,$29.29,000,999,000,No,,,,
76506,TC,4.00,7.55,$30.20,000,999,000,No,,,,
76506,,10.00,7.55,$75.50,000,999,000,No,,,,
76510,26,9.03,7.55,$68.18,000,999,000,No,,,,
76510,TC,8.98,7.55,$67.80,000,999,000,No,,,,
76510,,18.01,7.55,$135.98,000,999,000,No,,,,
76511,26,5.00,7.55,$37.75,000,999,000,No,,,,
76511,TC,6.00,7.55,$45.30,000,999,000,No,,,,
76511,,11.00,7.55,$83.05,000,999,000,No,,,,
76512,26,5.00,7.55,$37.75,000,999,000,No,,,,
76512,TC,5.00,7.55,$37.75,000,999,000,No,,,,
76512,,10.00,7.55,$75.50,000,999,000,No,,,,
76513,26,3.60,7.55,$27.18,000,999,000,No,,,,
76513,TC,5.37,7.55,$40.54,000,999,000,No,,,,
76513,,8.97,7.55,$67.72,000,999,000,No,,,,
76514,26,0.95,7.55,$7.17,000,999,000,No,,,,
76514,TC,0.25,7.55,$1.89,000,999,000,No,,,,
76514,,1.20,7.55,$9.06,000,999,000,No,,,,
76516,26,3.27,7.55,$24.69,000,999,000,No,,,,
76516,TC,6.00,7.55,$45.30,000,999,000,No,,,,
76516,,12.00,7.55,$90.60,000,999,000,No,,,,
76519,26,2.80,7.55,$21.14,000,999,000,No,,,,
76519,TC,3.00,7.55,$22.65,000,999,000,No,,,,
76519,,5.80,7.55,$43.79,000,999,000,No,,,,
76529,26,3.47,7.55,$26.20,000,999,000,No,,,,
76529,TC,4.47,7.55,$33.75,000,999,000,No,,,,
76529,,7.94,7.55,$59.95,000,999,000,No,,,,
76536,26,3.30,7.55,$24.92,000,999,000,No,,,,
76536,TC,5.00,7.55,$37.75,000,999,000,No,,,,
76536,,10.00,7.55,$75.50,000,999,000,No,,,,
76604,26,3.29,7.55,$24.84,000,999,000,No,,,,
76604,TC,6.30,7.55,$47.57,000,999,000,No,,,,
76604,,10.10,7.55,$76.26,000,999,000,No,,,,
76645,26,3.25,7.55,$24.54,000,999,000,No,,,,
76645,TC,6.00,7.55,$45.30,000,999,000,No,,,,
76645,,10.59,7.55,$79.95,000,999,000,No,,,,
76700,26,4.86,7.55,$36.69,000,999,000,No,,,,
76700,TC,6.00,7.55,$45.30,000,999,000,No,,,,
76700,,11.30,7.55,$85.32,000,999,000,No,,,,
76705,26,3.11,7.55,$23.48,000,999,000,No,,,,
76705,TC,5.63,7.55,$42.51,000,999,000,No,,,,
76705,,8.74,7.55,$65.99,000,999,000,No,,,,
76770,26,4.44,7.55,$33.52,000,999,000,No,,,,
76770,TC,6.00,7.55,$45.30,000,999,000,No,,,,
76770,,11.30,7.55,$85.32,000,999,000,No,,,,
76775,26,3.58,7.55,$27.03,000,999,000,No,,,,
76775,TC,5.80,7.55,$43.79,000,999,000,No,,,,
76775,,10.30,7.55,$77.77,000,999,000,No,,,,
76776,26,3.74,7.55,$28.24,000,999,000,No,,,,
76776,TC,9.40,7.55,$70.97,000,999,000,No,,,,
76776,,13.14,7.55,$99.21,000,999,000,No,,,,
76800,26,2.30,7.55,$17.37,000,999,000,No,,,,
76800,TC,3.10,7.55,$23.41,000,999,000,No,,,,
76800,,5.40,7.55,$40.77,000,999,000,No,,,,
76801,26,5.27,7.55,$39.79,000,999,000,No,,,,
76801,TC,4.31,7.55,$32.54,000,999,000,No,,,,
76801,,9.58,7.55,$72.33,000,999,000,No,,,,
76802,26,4.44,7.55,$33.52,000,999,000,No,,,,
76802,TC,3.04,7.55,$22.95,000,999,000,No,,,,
76802,,7.48,7.55,$56.47,000,999,000,No,,,,
76805,26,5.75,7.55,$43.41,000,999,000,No,,,,
76805,TC,8.42,7.55,$63.57,000,999,000,No,,,,
76805,,14.17,7.55,$106.98,000,999,000,No,,,,
76810,26,5.77,7.55,$43.56,000,999,000,No,,,,
76810,TC,5.98,7.55,$45.15,000,999,000,No,,,,
76810,,11.75,7.55,$88.71,000,999,000,No,,,,
76811,26,10.32,7.55,$77.92,000,999,000,No,,,,
76811,TC,14.61,7.55,$110.31,000,999,000,No,,,,
76811,,24.93,7.55,$188.22,000,999,000,No,,,,
76812,26,9.65,7.55,$72.86,000,999,000,No,,,,
76812,TC,5.09,7.55,$38.43,000,999,000,No,,,,
76812,,14.73,7.55,$111.21,000,999,000,No,,,,
76813,26,5.71,7.55,$43.11,000,999,000,No,,,,
76813,TC,7.50,7.55,$56.63,000,999,000,No,,,,
76813,,13.20,7.55,$99.66,000,999,000,No,,,,
76814,26,4.79,7.55,$36.16,000,999,000,No,,,,
76814,TC,3.87,7.55,$29.22,000,999,000,No,,,,
76814,,8.65,7.55,$65.31,000,999,000,No,,,,
76815,26,3.45,7.55,$26.05,000,999,000,No,,,,
76815,TC,5.63,7.55,$42.51,000,999,000,No,,,,
76815,,9.08,7.55,$68.55,000,999,000,No,,,,
76816,26,3.31,7.55,$24.99,000,999,000,No,,,,
76816,TC,4.47,7.55,$33.75,000,999,000,No,,,,
76816,,7.78,7.55,$58.74,000,999,000,No,,,,
76817,26,3.99,7.55,$30.12,000,999,000,No,,,,
76817,TC,5.95,7.55,$44.92,000,999,000,No,,,,
76817,,9.94,7.55,$75.05,000,999,000,No,,,,
76818,26,4.50,7.55,$33.98,000,999,000,No,,,,
76818,TC,5.50,7.55,$41.53,000,999,000,No,,,,
76818,,10.00,7.55,$75.50,000,999,000,No,,,,
76819,26,3.58,7.55,$27.03,000,999,000,No,,,,
76819,TC,6.63,7.55,$50.06,000,999,000,No,,,,
76819,,10.21,7.55,$77.09,000,999,000,No,,,,
76820,26,2.86,7.55,$21.59,000,999,000,No,,,,
76820,TC,3.38,7.55,$25.52,000,999,000,No,,,,
76820,,6.32,7.55,$47.72,000,999,000,No,,,,
76821,26,3.98,7.55,$30.05,000,999,000,No,,,,
76821,TC,6.85,7.55,$51.72,000,999,000,No,,,,
76821,,10.83,7.55,$81.77,000,999,000,No,,,,
76825,26,7.74,7.55,$58.44,000,999,000,No,,,,
76825,TC,7.56,7.55,$57.08,000,999,000,No,,,,
76825,,15.30,7.55,$115.52,000,999,000,No,,,,
76826,26,3.00,7.55,$22.65,000,999,000,No,,,,
76826,TC,3.50,7.55,$26.43,000,999,000,No,,,,
76826,,6.50,7.55,$49.08,000,999,000,No,,,,
76827,26,3.38,7.55,$25.52,000,999,000,No,,,,
76827,TC,5.01,7.55,$37.83,000,999,000,No,,,,
76827,,8.39,7.55,$63.34,000,999,000,No,,,,
76828,26,3.28,7.55,$24.76,000,999,000,No,,,,
76828,TC,2.93,7.55,$22.12,000,999,000,No,,,,
76828,,6.21,7.55,$46.89,000,999,000,No,,,,
76830,26,4.10,7.55,$30.96,000,999,000,No,,,,
76830,TC,5.00,7.55,$37.75,000,999,000,No,,,,
76830,,10.00,7.55,$75.50,000,999,000,No,,,,
76831,26,3.89,7.55,$29.37,000,999,000,No,,,,
76831,TC,5.74,7.55,$43.34,000,999,000,No,,,,
76831,,9.63,7.55,$72.71,000,999,000,No,,,,
76856,26,4.14,7.55,$31.26,000,999,000,No,,,,
76856,TC,5.20,7.55,$39.26,000,999,000,No,,,,
76856,,10.50,7.55,$79.28,000,999,000,No,,,,
76857,26,2.34,7.55,$17.67,000,999,000,No,,,,
76857,TC,5.00,7.55,$37.75,000,999,000,No,,,,
76857,,9.00,7.55,$67.95,000,999,000,No,,,,
76870,26,3.88,7.55,$29.29,000,999,000,No,,,,
76870,TC,4.00,7.55,$30.20,000,999,000,No,,,,
76870,,8.00,7.55,$60.40,000,999,000,No,,,,
76872,26,4.30,7.55,$32.47,000,999,000,No,,,,
76872,TC,5.50,7.55,$41.53,000,999,000,No,,,,
76872,,10.00,7.55,$75.50,000,999,000,No,,,,
76873,26,7.13,7.55,$53.83,000,999,000,No,,,,
76873,TC,8.35,7.55,$63.04,000,999,000,No,,,,
76873,,15.48,7.55,$116.87,000,999,000,No,,,,
76881,26,2.86,7.55,$21.59,000,999,000,No,,,,
76881,TC,8.63,7.55,$65.16,000,999,000,No,,,,
76881,,11.49,7.55,$86.75,000,999,000,No,,,,
76882,26,1.99,7.55,$15.02,000,999,000,No,,,,
76882,TC,1.01,7.55,$7.63,000,999,000,No,,,,
76882,,3.00,7.55,$22.65,000,999,000,No,,,,
76885,26,3.96,7.55,$29.90,000,999,000,No,,,,
76885,TC,5.74,7.55,$43.34,000,999,000,No,,,,
76885,,9.70,7.55,$73.24,000,999,000,No,,,,
76886,26,3.34,7.55,$25.22,000,999,000,No,,,,
76886,TC,5.31,7.55,$40.09,000,999,000,No,,,,
76886,,8.65,7.55,$65.31,000,999,000,No,,,,
76930,26,4.00,7.55,$30.20,000,999,000,No,,,,
76930,TC,5.00,7.55,$37.75,000,999,000,No,,,,
76930,,9.00,7.55,$67.95,000,999,000,No,,,,
76932,26,4.00,7.55,$30.20,000,999,000,No,,,,
76932,TC,5.00,7.55,$37.75,000,999,000,No,,,,
76932,,9.00,7.55,$67.95,000,999,000,No,,,,
76936,26,11.87,7.55,$89.62,000,999,000,No,,,,
76936,TC,22.11,7.55,$166.93,000,999,000,No,,,,
76936,,33.98,7.55,$256.55,000,999,000,No,,,,
76937,26,1.62,7.55,$12.23,000,999,000,No,,,,
76937,TC,1.70,7.55,$12.84,000,999,000,No,,,,
76937,,3.32,7.55,$25.07,000,999,000,No,,,,
76940,26,10.07,7.55,$76.03,000,999,000,No,,,,
76940,TC,6.44,7.55,$48.62,000,999,000,No,,,,
76940,,16.51,7.55,$124.65,000,999,000,No,,,,
76941,26,5.86,7.55,$44.24,000,999,000,No,,,,
76941,TC,7.22,7.55,$54.51,000,999,000,No,,,,
76941,,13.08,7.55,$98.75,000,999,000,No,,,,
76942,26,4.06,7.55,$30.65,000,999,000,No,,,,
76942,TC,5.00,7.55,$37.75,000,999,000,No,,,,
76942,,10.00,7.55,$75.50,000,999,000,No,,,,
76945,26,3.93,7.55,$29.67,000,999,000,No,,,,
76945,TC,5.45,7.55,$41.15,000,999,000,No,,,,
76945,,10.35,7.55,$78.14,000,999,000,No,,,,
76946,26,2.22,7.55,$16.76,000,999,000,No,,,,
76946,TC,2.98,7.55,$22.50,000,999,000,No,,,,
76946,,5.20,7.55,$39.26,000,999,000,No,,,,
76948,,,,Not a benefit,,,,,,,,
76948,26,,,Not a benefit,,,,,,,,
76950,26,3.45,7.55,$26.05,000,999,000,No,,,,
76950,TC,4.83,7.55,$36.47,000,999,000,No,,,,
76950,,8.28,7.55,$62.51,000,999,000,No,,,,
76965,26,8.21,7.55,$61.99,000,999,000,No,,,,
76965,TC,9.00,7.55,$67.95,000,999,000,No,,,,
76965,,17.22,7.55,$130.01,000,999,000,No,,,,
76970,26,2.00,7.55,$15.10,000,999,000,No,,,,
76970,TC,2.00,7.55,$15.10,000,999,000,No,,,,
76970,,4.00,7.55,$30.20,000,999,000,No,,,,
76975,26,4.15,7.55,$31.33,000,999,000,No,,,,
76975,TC,5.31,7.55,$40.09,000,999,000,No,,,,
76975,,9.46,7.55,$71.42,000,999,000,No,,,,
76977,26,0.33,7.55,$2.49,000,999,000,No,,,,
76977,TC,1.30,7.55,$9.82,000,999,000,No,,,,
76977,,1.63,7.55,$12.31,000,999,000,No,,,,
76998,26,5.19,7.55,$39.18,000,999,000,No,,,,
76998,TC,5.23,7.55,$39.49,000,999,000,No,,,,
76998,,7.45,7.55,$56.25,000,999,000,No,,,,
76999,26,,,Code is Manually Priced,000,999,000,No,,,,
76999,,,,Code is Manually Priced,000,999,000,No,,,,
77001,26,1.92,7.55,$14.50,000,999,000,No,,,,
77001,TC,6.84,7.55,$51.64,000,999,000,No,,,,
77001,,8.75,7.55,$66.06,000,999,000,No,,,,
77002,26,2.64,7.55,$19.93,000,999,000,No,,,,
77002,TC,5.28,7.55,$39.86,000,999,000,No,,,,
77002,,7.92,7.55,$59.80,000,999,000,No,,,,
77003,26,2.84,7.55,$21.44,000,999,000,No,,,,
77003,,7.67,7.55,$57.91,000,999,000,No,,,,
77011,26,6.06,7.55,$45.75,000,999,000,No,,,,
77011,TC,46.13,7.55,$348.28,000,999,000,No,,,,
77011,,52.19,7.55,$394.03,000,999,000,No,,,,
77012,26,5.80,7.55,$43.79,000,999,000,No,,,,
77012,TC,16.15,7.55,$121.93,000,999,000,No,,,,
77012,,23.20,7.55,$175.16,000,999,000,No,,,,
77013,26,16.65,7.55,$125.71,000,999,000,Yes,,,,
77013,TC,16.65,7.55,$125.71,000,999,000,Yes,,,,
77013,,17.43,7.55,$131.60,000,999,000,Yes,,,,
77014,26,4.30,7.55,$32.47,000,999,000,No,,,,
77014,TC,13.76,7.55,$103.89,000,999,000,No,,,,
77014,,18.05,7.55,$136.28,000,999,000,No,,,,
77021,26,7.63,7.55,$57.61,000,999,000,Yes,,,,
77021,TC,44.91,7.55,$339.07,000,999,000,Yes,,,,
77021,,52.54,7.55,$396.68,000,999,000,Yes,,,,
77022,26,18.23,7.55,$137.64,000,999,000,Yes,,,,
77022,TC,17.51,7.55,$132.20,000,999,000,Yes,,,,
77022,,17.77,7.55,$134.16,000,999,000,Yes,,,,
77051,26,0.33,7.55,$2.49,000,999,000,No,,,,
77051,TC,1.06,7.55,$8.00,000,999,000,No,,,,
77051,,1.43,7.55,$10.80,000,999,000,No,,,,
77052,26,0.33,7.55,$2.49,000,999,000,No,,,,
77052,TC,1.06,7.55,$8.00,000,999,000,No,,,,
77052,,1.43,7.55,$10.80,000,999,000,No,,,,
77053,26,1.83,7.55,$13.82,000,999,000,No,,,,
77053,TC,8.96,7.55,$67.65,000,999,000,No,,,,
77053,,10.80,7.55,$81.54,000,999,000,No,,,,
77054,26,2.28,7.55,$17.21,000,999,000,No,,,,
77054,TC,9.29,7.55,$70.14,000,999,000,No,,,,
77054,,15.52,7.55,$117.18,000,999,000,No,,,,
77055,26,3.49,7.55,$26.35,000,999,000,No,,,,
77055,TC,4.76,7.55,$35.94,000,999,000,No,,,,
77055,,8.24,7.55,$62.21,000,999,000,No,,,,
77056,26,4.33,7.55,$32.69,000,999,000,No,,,,
77056,TC,5.97,7.55,$45.07,000,999,000,No,,,,
77056,,10.30,7.55,$77.77,000,999,000,No,,,,
77057,26,3.49,7.55,$26.35,000,999,000,No,,,,
77057,TC,5.15,7.55,$38.88,000,999,000,No,,,,
77057,,8.64,7.55,$65.23,000,999,000,No,,,,
77058,26,8.11,7.55,$61.23,000,999,000,Yes,,,,
77058,TC,77.31,7.55,$583.69,000,999,000,Yes,,,,
77058,,85.15,7.55,$642.88,000,999,000,Yes,,,,
77059,26,8.11,7.55,$61.23,000,999,000,Yes,,,,
77059,TC,97.49,7.55,$736.05,000,999,000,Yes,,,,
77059,,105.59,7.55,$797.20,000,999,000,Yes,,,,
77071,,3.00,7.55,$22.65,000,999,000,No,,,,
77072,26,0.91,7.55,$6.87,000,999,000,No,,,,
77072,TC,1.45,7.55,$10.95,000,999,000,No,,,,
77072,,2.36,7.55,$17.82,000,999,000,No,,,,
77073,26,1.36,7.55,$10.27,000,999,000,No,,,,
77073,TC,3.09,7.55,$23.33,000,999,000,No,,,,
77073,,4.45,7.55,$33.60,000,999,000,No,,,,
77074,26,2.28,7.55,$17.21,000,999,000,No,,,,
77074,TC,4.47,7.55,$33.75,000,999,000,No,,,,
77074,,6.75,7.55,$50.96,000,999,000,No,,,,
77075,26,2.72,7.55,$20.54,000,999,000,No,,,,
77075,TC,6.69,7.55,$50.51,000,999,000,No,,,,
77075,,9.42,7.55,$71.12,000,999,000,No,,,,
77076,26,3.49,7.55,$26.35,000,999,000,No,,,,
77076,TC,4.15,7.55,$31.33,000,999,000,No,,,,
77076,,7.64,7.55,$57.68,000,999,000,No,,,,
77077,26,1.57,7.55,$11.85,000,999,000,No,,,,
77077,TC,4.14,7.55,$31.26,000,999,000,No,,,,
77077,,5.72,7.55,$43.19,000,999,000,No,,,,
77078,26,1.25,7.55,$9.44,000,999,000,No,,,,
77078,TC,14.08,7.55,$106.30,000,999,000,No,,,,
77078,,15.33,7.55,$115.74,000,999,000,No,,,,
77080,26,1.11,7.55,$8.38,000,999,000,No,,,,
77080,TC,7.08,7.55,$53.45,000,999,000,No,,,,
77080,,8.28,7.55,$62.51,000,999,000,No,,,,
77081,26,1.14,7.55,$8.61,000,999,000,No,,,,
77081,TC,2.24,7.55,$16.91,000,999,000,No,,,,
77081,,3.52,7.55,$26.58,000,999,000,No,,,,
77082,26,0.88,7.55,$6.64,000,999,000,No,,,,
77082,TC,2.80,7.55,$21.14,000,999,000,No,,,,
77082,,3.69,7.55,$27.86,000,999,000,No,,,,
77084,26,8.00,7.55,$60.40,000,999,000,Yes,,,,
77084,TC,49.69,7.55,$375.16,000,999,000,Yes,,,,
77084,,57.69,7.55,$435.56,000,999,000,Yes,,,,
77261,,7.50,7.55,$56.63,000,999,000,No,,,,
77262,,11.39,7.55,$85.99,000,999,000,No,,,,
77263,,16.93,7.55,$127.82,000,999,000,No,,,,
77280,26,2.60,7.55,$19.63,000,999,000,No,,,,
77280,TC,3.90,7.55,$29.45,000,999,000,No,,,,
77280,,6.50,7.55,$49.08,000,999,000,No,,,,
77285,26,5.00,7.55,$37.75,000,999,000,No,,,,
77285,TC,7.50,7.55,$56.63,000,999,000,No,,,,
77285,,12.50,7.55,$94.38,000,999,000,No,,,,
77290,26,7.60,7.55,$57.38,000,999,000,No,,,,
77290,TC,11.40,7.55,$86.07,000,999,000,No,,,,
77290,,19.00,7.55,$143.45,000,999,000,No,,,,
77293,,,,Code is Manually Priced,,,,,,,,
77293,26,,,Code is Manually Priced,,,,,,,,
77293,TC,,,Code is Manually Priced,,,,,,,,
77295,26,13.51,7.55,$102.00,000,999,000,No,,,,
77295,TC,47.11,7.55,$355.68,000,999,000,No,,,,
77295,,60.62,7.55,$457.68,000,999,000,No,,,,
77299,26,,,Code is Manually Priced,000,999,000,No,,,,
77299,,,,Code is Manually Priced,000,999,000,No,,,,
77300,26,3.67,7.55,$27.71,000,999,000,No,,,,
77300,TC,2.00,7.55,$15.10,000,999,000,No,,,,
77300,,6.90,7.55,$52.10,000,999,000,No,,,,
77301,26,42.99,7.55,$324.57,000,999,000,No,,,,
77301,TC,105.03,7.55,$792.98,000,999,000,No,,,,
77301,,148.02,7.55,"$1,117.55",000,999,000,No,,,,
77305,26,1.20,7.55,$9.06,000,999,000,No,,,,
77305,TC,1.80,7.55,$13.59,000,999,000,No,,,,
77305,,3.00,7.55,$22.65,000,999,000,No,,,,
77310,26,3.00,7.55,$22.65,000,999,000,No,,,,
77310,TC,4.50,7.55,$33.98,000,999,000,No,,,,
77310,,7.50,7.55,$56.63,000,999,000,No,,,,
77315,26,6.90,7.55,$52.10,000,999,000,No,,,,
77315,TC,5.40,7.55,$40.77,000,999,000,No,,,,
77315,,12.30,7.55,$92.87,000,999,000,No,,,,
77321,26,3.00,7.55,$22.65,000,999,000,No,,,,
77321,TC,4.50,7.55,$33.98,000,999,000,No,,,,
77321,,7.50,7.55,$56.63,000,999,000,No,,,,
77326,26,3.00,7.55,$22.65,000,999,000,No,,,,
77326,TC,4.50,7.55,$33.98,000,999,000,No,,,,
77326,,7.50,7.55,$56.63,000,999,000,No,,,,
77327,26,4.00,7.55,$30.20,000,999,000,No,,,,
77327,TC,6.00,7.55,$45.30,000,999,000,No,,,,
77327,,10.00,7.55,$75.50,000,999,000,No,,,,
77328,26,5.00,7.55,$37.75,000,999,000,No,,,,
77328,TC,7.50,7.55,$56.63,000,999,000,No,,,,
77328,,12.50,7.55,$94.38,000,999,000,No,,,,
77331,26,4.00,7.55,$30.20,000,999,000,No,,,,
77331,TC,2.20,7.55,$16.61,000,999,000,No,,,,
77331,,7.37,7.55,$55.64,000,999,000,No,,,,
77332,26,3.00,7.55,$22.65,000,999,000,No,,,,
77332,TC,4.50,7.55,$33.98,000,999,000,No,,,,
77332,,7.50,7.55,$56.63,000,999,000,No,,,,
77333,26,4.00,7.55,$30.20,000,999,000,No,,,,
77333,TC,3.10,7.55,$23.41,000,999,000,No,,,,
77333,,8.09,7.55,$61.08,000,999,000,No,,,,
77334,26,5.00,7.55,$37.75,000,999,000,No,,,,
77334,TC,7.50,7.55,$56.63,000,999,000,No,,,,
77334,,12.50,7.55,$94.38,000,999,000,No,,,,
77336,,7.23,7.55,$54.59,000,999,000,No,,,,
77338,26,17.25,7.55,$130.24,000,999,000,No,,,,
77338,TC,19.55,7.55,$147.60,000,999,000,No,,,,
77338,,36.79,7.55,$277.76,000,999,000,No,,,,
77370,,8.38,7.55,$63.27,000,999,000,No,,,,
77371,,123.72,7.55,$934.09,000,999,000,No,,,,
77372,,93.88,7.55,$708.79,000,999,000,No,,,,
77373,,175.17,7.55,"$1,322.53",000,999,000,No,,,,
77399,26,,,Code is Manually Priced,000,999,000,No,,,,
77399,,,,Code is Manually Priced,000,999,000,No,,,,
77401,,3.70,7.55,$27.94,000,999,000,No,,,,
77402,,6.66,7.55,$50.28,000,999,000,No,,,,
77403,,6.66,7.55,$50.28,000,999,000,No,,,,
77404,,6.66,7.55,$50.28,000,999,000,No,,,,
77406,,6.66,7.55,$50.28,000,999,000,No,,,,
77407,,7.85,7.55,$59.27,000,999,000,No,,,,
77408,,7.85,7.55,$59.27,000,999,000,No,,,,
77409,,7.85,7.55,$59.27,000,999,000,No,,,,
77411,,7.85,7.55,$59.27,000,999,000,No,,,,
77412,,8.77,7.55,$66.21,000,999,000,No,,,,
77413,,8.77,7.55,$66.21,000,999,000,No,,,,
77414,,8.77,7.55,$66.21,000,999,000,No,,,,
77416,,8.77,7.55,$66.21,000,999,000,No,,,,
77417,,2.22,7.55,$16.76,000,999,000,No,,,,
77418,26,,,Not a benefit,,,,,,,,
77418,TC,,,Not a benefit,,,,,,,,
77418,,61.57,7.55,$464.85,000,999,000,No,,,,
77421,26,2.06,7.55,$15.55,000,999,000,No,,,,
77421,TC,13.33,7.55,$100.64,000,999,000,No,,,,
77421,,15.39,7.55,$116.19,000,999,000,No,,,,
77422,,7.03,7.55,$53.08,000,999,000,No,,,,
77423,,9.16,7.55,$69.16,000,999,000,No,,,,
77424,,,,Code is Manually Priced,000,999,000,No,,,,
77425,,,,Code is Manually Priced,000,999,000,No,,,,
77427,,43.17,2.73,$117.85,000,999,000,No,,,,
77431,,9.79,7.55,$73.91,000,999,000,No,,,,
77432,,47.69,7.55,$360.06,000,999,000,No,,,,
77435,,67.30,7.55,$508.12,000,999,000,No,,,,
77469,,29.93,7.55,$225.97,000,999,000,No,,,,
77470,26,3.00,7.55,$22.65,000,999,000,No,,,,
77470,TC,4.50,7.55,$33.98,000,999,000,No,,,,
77470,,7.50,7.55,$56.63,000,999,000,No,,,,
77499,26,,,Code is Manually Priced,000,999,000,No,,,,
77499,TC,,,Code is Manually Priced,000,999,000,No,,,,
77499,,,,Code is Manually Priced,000,999,000,No,,,,
77520,26,4.69,7.55,$35.41,000,999,000,No,,,,
77520,TC,4.69,7.55,$35.41,000,999,000,No,,,,
77520,,9.38,7.55,$70.82,000,999,000,No,,,,
77522,26,54.29,7.55,$409.89,000,999,000,No,,,,
77522,TC,46.15,7.55,$348.43,000,999,000,No,,,,
77522,,100.44,7.55,$758.32,000,999,000,No,,,,
77523,26,5.94,7.55,$44.85,000,999,000,No,,,,
77523,TC,5.94,7.55,$44.85,000,999,000,No,,,,
77523,,11.89,7.55,$89.77,000,999,000,No,,,,
77525,26,288.60,7.55,"$2,178.93",000,999,000,No,,,,
77525,TC,69.85,7.55,$527.37,000,999,000,No,,,,
77525,,358.45,7.55,"$2,706.30",000,999,000,No,,,,
77600,26,7.90,7.55,$59.65,000,999,000,No,,,,
77600,TC,12.60,7.55,$95.13,000,999,000,No,,,,
77600,,20.50,7.55,$154.78,000,999,000,No,,,,
77605,26,12.07,7.55,$91.13,000,999,000,No,,,,
77605,TC,22.00,7.55,$166.10,000,999,000,No,,,,
77605,,37.70,7.55,$284.64,000,999,000,No,,,,
77610,26,8.99,7.55,$67.87,000,999,000,No,,,,
77610,TC,12.50,7.55,$94.38,000,999,000,No,,,,
77610,,26.70,7.55,$201.59,000,999,000,No,,,,
77615,26,12.36,7.55,$93.32,000,999,000,No,,,,
77615,TC,15.70,7.55,$118.54,000,999,000,No,,,,
77615,,33.00,7.55,$249.15,000,999,000,No,,,,
77620,26,,,Not a benefit,,,,,,,,
77620,,,,Not a benefit,,,,,,,,
77750,,28.73,7.55,$216.91,000,999,090,No,,,,
77761,26,20.41,7.55,$154.10,000,999,000,No,,,,
77761,TC,10.02,7.55,$75.65,000,999,000,No,,,,
77761,,30.43,7.55,$229.75,000,999,000,No,,,,
77762,26,31.14,7.55,$235.11,000,999,000,No,,,,
77762,TC,14.36,7.55,$108.42,000,999,000,No,,,,
77762,,45.50,7.55,$343.53,000,999,000,No,,,,
77763,26,46.56,7.55,$351.53,000,999,000,No,,,,
77763,TC,17.87,7.55,$134.92,000,999,000,No,,,,
77763,,64.43,7.55,$486.45,000,999,000,No,,,,
77776,26,24.89,7.55,$187.92,000,999,000,No,,,,
77776,TC,8.70,7.55,$65.69,000,999,000,No,,,,
77776,,35.59,7.55,$268.70,000,999,000,No,,,,
77777,26,44.96,7.55,$339.45,000,999,000,No,,,,
77777,TC,16.86,7.55,$127.29,000,999,000,No,,,,
77777,,67.68,7.55,$510.98,000,999,000,No,,,,
77778,26,60.65,7.55,$457.91,000,999,000,No,,,,
77778,TC,20.45,7.55,$154.40,000,999,000,No,,,,
77778,,81.10,7.55,$612.31,000,999,000,No,,,,
77785,26,6.67,7.55,$50.36,000,999,000,No,,,,
77785,TC,10.63,7.55,$80.26,000,999,000,No,,,,
77785,,17.30,7.55,$130.62,000,999,000,No,,,,
77786,26,15.02,7.55,$113.40,000,999,000,No,,,,
77786,TC,37.00,7.55,$279.35,000,999,000,No,,,,
77786,,52.02,7.55,$392.75,000,999,000,No,,,,
77787,26,23.07,7.55,$174.18,000,999,000,No,,,,
77787,TC,54.23,7.55,$409.44,000,999,000,No,,,,
77787,,77.30,7.55,$583.62,000,999,000,No,,,,
77789,26,6.08,7.55,$45.90,000,999,000,No,,,,
77789,TC,1.83,7.55,$13.82,000,999,000,No,,,,
77789,,7.91,7.55,$59.72,000,999,000,No,,,,
77790,26,5.73,7.55,$43.26,000,999,000,No,,,,
77790,TC,2.02,7.55,$15.25,000,999,000,No,,,,
77790,,7.75,7.55,$58.51,000,999,000,No,,,,
77799,26,,,Code is Manually Priced,000,999,000,No,,,,
77799,,,,Code is Manually Priced,000,999,000,No,,,,
78013,26,1.79,7.55,$13.51,000,999,000,No,,,,
78013,TC,15.24,7.55,$115.06,000,999,000,No,,,,
78013,,17.03,7.55,$128.58,000,999,000,No,,,,
78014,26,2.40,7.55,$18.12,000,999,000,No,,,,
78014,TC,22.22,7.55,$167.76,000,999,000,No,,,,
78014,,24.88,7.55,$187.84,000,999,000,No,,,,
78015,26,4.00,7.55,$30.20,000,999,000,No,,,,
78015,TC,4.00,7.55,$30.20,000,999,000,No,,,,
78015,,8.00,7.55,$60.40,000,999,000,No,,,,
